楼盘名, 详细链接, 所属区, 详细地址,价格,单位,优惠,开盘时间
河畔花城,http://newhouse.huaian.fang.com/house/1826572302.htm,清河区,翔宇大道西侧，天津路南侧,5300,元/平方米,全款95折,2012年7月52-61号楼已开盘
九华学府,http://jiuhuaxuefu.fang.com/,清河区,涌翠路6号（山阳湾路西、涌翠路北侧）,4700,元/平方米,97折,预计2015年6月份开盘
金润城,http://jinruncheng.fang.com/,淮阴区,北京东路89号(淮师二附小对面),5400,元/平方米,交1千抵3万,预计2015年7月5日5#7#加推
中南世纪城,http://shijichengzn0517.fang.com/,清河区,枚皋中路8号,4750,元/平方米,总价减3万,2014年11月2日加推25号楼
紫御大公馆,http://zijinghuayuan0517.fang.com/,清河区,北京北路26号（北京北路与军营路交界处）,6000,元/平方米,优惠400元/平,2013年10月20日加推4号楼
阳光广场,http://yangguangguangchang0517.fang.com/,淮安区,翔宇南道1001号（礼字坝公交站台附近）,4300,元/平方米,全款96折,2013年10月加推1#
上海新城,http://shanghaixincheng0517.fang.com/,开发区,厦门路与翔宇大道交汇处,4300,元/平方米,按揭99全款98,2012年5月6日3号楼已开盘
林语美墅,http://linyumeishu0517.fang.com/villa/,开发区,徐杨路与安澜路交汇处,6000,元/平方米,交10万抵20万,预计2015年月底开盘
锦绣国际装饰城,http://jinxiuguojizhuangshicheng.fang.com/,开发区,西安路48号,12000,元/平方米,全款95折,2014-1-11
鹏源淮安新都,http://pengyuanhuaianxindu.fang.com/,清河区,漕运西路218号,4500,元/平方米,交1万抵3万,2014年8月1日3#、5#楼开盘
江淮景城,http://jianghuaijingcheng.fang.com/,淮安区,西长街17-7号（西长南街运河嘉苑南侧）,4400,元/平方米,,2015年4月加推
南浦佳园,http://nanpujiayuan.fang.com/,清浦区,北京南路288号,3400,元/平方米,,
叶语世家,http://yeyushijia.fang.com/,清河区,北京北路与漕运西路交汇处（清河嘉园对面）,4700,元/平方米,,2014-11
蓝惠首府,http://lanhuishoufu.fang.com/,淮安区,翔宇南道803号（国际商城北侧）,4500,元/平方米,,2014年10月6日
天恒王府,http://tianhengwangfu.fang.com/,淮安区,北门大街东侧，长安路北侧，翔宇大道南侧,5600,元/平方米,,2014-10-1
富源尚城,http://fuyuanshangcheng0517.fang.com/,开发区,开发区承德路、正大路交汇处东约100米,4500,元/平方米,,2014年10月18日1-7#开盘
红豆美墅,http://hongdoumeishu.fang.com/,开发区,三亚路2号（车管所南200米）,3500,元/平方米,,2014-9-7
香缇豪庭,http://xiangtihaoting.fang.com/,开发区,迎宾大道7号,4500,元/平方米,,2014年7月6日加推20号楼
鼎立紫金花苑,http://zijinhuayuandl.fang.com/,开发区,富誉路8号（管委会北侧）,3300,元/平方米,,2014年4月6日6#8#楼开盘
清城美墅,http://qingchengmeishu.fang.com/,开发区,开发区合肥路与厦门路路口东南侧,3700,元/平方米,,2013年11月16高层、小高层加推
七星岛,http://qixingdao.fang.com/villa/,清河区,水渡口大道近宁连路,12000,元/平方米,,2013年9月8日推1#岛287套公寓
翔宇壹号,http://xiangyuyihao.fang.com/,开发区,翔宇大道与厦门路交接处,4300,元/平方米,,2013年5月18日8号楼加推
泰顺佳园,http://taishunjiayuan0517.fang.com/,清河区,西安路86号,5300,元/平方米,,2013年5月31日一期开盘
易郡龙腾,http://yijunlongteng.fang.com/,淮安区,翔宇大道999号（翔宇大道北侧、经五路东侧）,4700,元/平方米,,2012年9月30日6#首开
新维铂晶国际,http://bojingguojixw.fang.com/,开发区,迎宾大道68号（管委会东侧）,3500,元/平方米,,2012年4月28日4号楼已开盘
东方雅居,http://dongfangyaju0517.fang.com/,淮安区,淮安区楚州大道130号,,,,预计2015年6月6日推出6#7#8#
阳光湖新天地,http://yangguanghuxintiandi.fang.com/,清浦区,枚乘路与政通路交汇处（阳光湖公园南岸缔壹街）,,,,2015-6-30
江淮印象雅苑,http://jianghuaiyinxiangyayuan.fang.com/,开发区,正大路以南、合意路西、逢桥路东,,,,预计2015年5月30日 别墅首开
新天地荣府,http://xintiandirongfu.fang.com/,清河区,健康东路23号（健康路与圩北路交汇）,,,,预计2015年12月首期加推
洪福小区,http://hongfuxiaoqu20517.fang.com/,清河区,水渡口大道北侧,,,,
东冠逸品花园,http://yipinhuayuandg.fang.com/,开发区,深圳路7号,12000,元/平方米,全款98折,2012年12月21日7号楼已开盘
